Pick 3 Evening,9,21,2013,1,G,*,B42,*,B36,*,B45,*,H,,B41,,B43,,B37,,3,7,9,19,N
Pick 3 Evening,9,21,2013,2,G,*,B42,*,B36,*,B45,*,H,,B41,,B43,,B37,,2,6,0,8,N
Pick 3 Evening,9,21,2013,3,G,*,B42,*,B36,*,B45,*,H,,B41,,B43,,B37,,7,8,9,24,N
Pick 3 Evening,9,21,2013,4,G,*,B42,*,B36,*,B45,*,H,,B41,,B43,,B37,,9,2,3,14,N
Pick 3 Evening,9,23,2013,1,G,*,B38,*,B45,*,B43,*,H,,B37,,B35,,B36,,5,6,0,11,N
Pick 3 Evening,9,23,2013,2,G,*,B38,*,B45,*,B43,*,H,,B37,,B35,,B36,,1,0,9,10,N
Pick 3 Evening,9,23,2013,3,G,*,B38,*,B45,*,B43,*,H,,B37,,B35,,B36,,8,0,1,9,N
Pick 3 Evening,9,23,2013,4,G,*,B38,*,B45,*,B43,*,H,,B37,,B35,,B36,,0,0,0,0,N
Pick 3 Evening,9,24,2013,1,G,*,B37,*,B41,*,B52,*,H,,B45,,B43,,B44,,4,5,9,18,N
Pick 3 Evening,9,24,2013,2,G,*,B37,*,B41,*,B52,*,H,,B45,,B43,,B44,,8,8,7,23,N
Pick 3 Evening,9,24,2013,3,G,*,B37,*,B41,*,B52,*,H,,B45,,B43,,B44,,4,8,7,19,N
Pick 3 Evening,9,24,2013,4,G,*,B37,*,B41,*,B52,*,H,,B45,,B43,,B44,,7,3,2,12,N
Pick 3 Evening,9,25,2013,1,G,*,B41,*,B45,*,B33,*,H,,B32,,B40,,B35,,6,4,9,19,N
Pick 3 Evening,9,25,2013,2,G,*,B41,*,B45,*,B33,*,H,,B32,,B40,,B35,,1,2,8,11,N
Pick 3 Evening,9,25,2013,3,G,*,B41,*,B45,*,B33,*,H,,B32,,B40,,B35,,7,5,5,17,N
Pick 3 Evening,9,25,2013,4,G,*,B41,*,B45,*,B33,*,H,,B32,,B40,,B35,,8,8,5,21,N
Pick 3 Evening,9,26,2013,1,G,*,B36,*,B42,*,B44,*,H,,B40,,B38,,B45,,7,7,3,17,N
