Pick 3 Morning,9,21,2013,1,G,*,B22,*,B13,*,B19,*,H,,B11,,B12,,B28,,9,3,8,20,N
Pick 3 Morning,9,21,2013,2,G,*,B22,*,B13,*,B19,*,H,,B11,,B12,,B28,,7,2,5,14,N
Pick 3 Morning,9,21,2013,3,G,*,B22,*,B13,*,B19,*,H,,B11,,B12,,B28,,3,2,8,13,N
Pick 3 Morning,9,21,2013,4,G,*,B22,*,B13,*,B19,*,H,,B11,,B12,,B28,,7,2,4,13,N
Pick 3 Morning,9,23,2013,1,G,*,B29,*,B19,*,B27,*,H,,B11,,B10,,B22,,0,7,3,10,N
Pick 3 Morning,9,23,2013,2,G,*,B29,*,B19,*,B27,*,H,,B11,,B10,,B22,,9,2,3,14,N
Pick 3 Morning,9,23,2013,3,G,*,B29,*,B19,*,B27,*,H,,B11,,B10,,B22,,4,7,5,16,N
Pick 3 Morning,9,23,2013,4,G,*,B29,*,B19,*,B27,*,H,,B11,,B10,,B22,,8,2,6,16,N
Pick 3 Morning,9,24,2013,1,G,*,B22,*,B19,*,B10,*,H,,B11,,B24,,B13,,2,3,3,8,N
Pick 3 Morning,9,24,2013,2,G,*,B22,*,B19,*,B10,*,H,,B11,,B24,,B13,,5,6,1,12,N
Pick 3 Morning,9,24,2013,3,G,*,B22,*,B19,*,B10,*,H,,B11,,B24,,B13,,2,8,1,11,N
Pick 3 Morning,9,24,2013,4,G,*,B22,*,B19,*,B10,*,H,,B11,,B24,,B13,,7,2,7,16,N
Pick 3 Morning,9,25,2013,1,G,*,B12,*,B25,*,B10,*,H,,B29,,B13,,B19,,7,0,4,11,N
Pick 3 Morning,9,25,2013,2,G,*,B12,*,B25,*,B10,*,H,,B29,,B13,,B19,,0,5,3,8,N
Pick 3 Morning,9,25,2013,3,G,*,B12,*,B25,*,B10,*,H,,B29,,B13,,B19,,3,1,1,5,N
Pick 3 Morning,9,25,2013,4,G,*,B12,*,B25,*,B10,*,H,,B29,,B13,,B19,,8,4,0,12,N
Pick 3 Morning,9,26,2013,1,G,*,B29,*,B20,*,B12,*,H,,B27,,B25,,B19,,6,7,1,14,N
Pick 3 Morning,9,26,2013,2,G,*,B29,*,B20,*,B12,*,H,,B27,,B25,,B19,,3,5,3,11,N
Pick 3 Morning,9,26,2013,3,G,*,B29,*,B20,*,B12,*,H,,B27,,B25,,B19,,7,6,8,21,N
Pick 3 Morning,9,26,2013,4,G,*,B29,*,B20,*,B12,*,H,,B27,,B25,,B19,,9,4,5,18,N
Pick 3 Morning,9,27,2013,1,G,*,B12,*,B18,*,B27,*,H,,B19,,B28,,B22,,7,0,4,11,N
Pick 3 Morning,9,27,2013,2,G,*,B12,*,B18,*,B27,*,H,,B19,,B28,,B22,,5,2,9,16,N
Pick 3 Morning,9,27,2013,3,G,*,B12,*,B18,*,B27,*,H,,B19,,B28,,B22,,9,4,8,21,N
Pick 3 Morning,9,27,2013,4,G,*,B12,*,B18,*,B27,*,H,,B19,,B28,,B22,,6,2,9,17,N
Pick 3 Morning,9,28,2013,1,G,*,B22,*,B27,*,B10,*,H,,B25,,B12,,B13,,0,3,6,9,N
